number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,user_attrs_Model,state
39,403.6820958218807,2022-09-11 01:02:45.542781,2022-09-11 09:41:00.380984,0 days 08:38:14.838203,elu,16,0.1,0.9,0.999,9.289579798723862e-05,5.0,1,128,small,PPO,COMPLETE
40,576.4176513288262,2022-09-11 05:19:26.431973,2022-09-11 13:13:24.896596,0 days 07:53:58.464623,tanh,64,0.1,0.9,0.9,6.360855682017563e-05,5.0,20,128,small,PPO,COMPLETE
41,581.3024007177481,2022-09-11 05:38:27.783293,2022-09-11 12:48:27.261921,0 days 07:09:59.478628,tanh,128,0.1,0.9,0.98,0.0005926979789165331,5.0,20,128,small,PPO,COMPLETE
42,574.3683548714585,2022-09-11 07:07:19.792567,2022-09-11 14:55:26.973743,0 days 07:48:07.181176,tanh,16,0.1,0.9,0.9,0.00040328328472322676,0.9,10,128,small,PPO,COMPLETE
43,542.1540301990283,2022-09-11 08:46:26.585943,2022-09-11 17:39:24.117936,0 days 08:52:57.531993,tanh,32,0.2,0.9,0.9,0.0001748249770123656,0.5,5,16,small,PPO,COMPLETE
44,358.8682437109674,2022-09-11 09:41:00.432680,2022-09-11 18:42:04.548545,0 days 09:01:04.115865,tanh,16,0.1,0.98,0.9999,0.0009139008055913323,0.5,10,128,small,PPO,COMPLETE
45,583.0940721745121,2022-09-11 12:48:27.318782,2022-09-11 20:07:17.832099,0 days 07:18:50.513317,tanh,16,0.1,0.9,0.98,0.0005633802953932352,0.8,5,128,small,PPO,COMPLETE
46,466.4800657280665,2022-09-11 13:13:24.946709,2022-09-11 21:33:01.751441,0 days 08:19:36.804732,tanh,16,0.1,0.92,0.95,0.001140355332649276,5.0,10,2048,small,PPO,COMPLETE
47,545.4471014509969,2022-09-11 14:55:27.038707,2022-09-11 22:28:39.872467,0 days 07:33:12.833760,relu,32,0.4,0.9,0.98,0.00025964129712188733,0.7,10,128,small,PPO,COMPLETE
48,-169.76458033501143,2022-09-11 17:39:24.189712,2022-09-12 01:59:37.956278,0 days 08:20:13.766566,tanh,128,0.1,0.8,0.9,0.019367636621393555,0.8,20,128,small,PPO,COMPLETE
