number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_cg_max_steps,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_critic_updates,params_n_steps,params_net_arch,user_attrs_Model,state
54,576.7544036647157,2022-09-10 23:07:41.217957,2022-09-11 05:47:52.412429,0 days 06:40:11.194472,tanh,16,5,0.8,0.98,0.3278024220361494,0.8,20,256,small,TRPO,COMPLETE
55,588.3665925457976,2022-09-10 23:13:17.361288,2022-09-11 05:23:51.457732,0 days 06:10:34.096444,tanh,64,5,0.9,0.98,0.02394486149833681,0.8,30,256,small,TRPO,COMPLETE
56,284.00563468687267,2022-09-10 23:56:44.343080,2022-09-11 09:27:05.046735,0 days 09:30:20.703655,elu,32,5,0.98,0.999,0.05455014589350705,1.0,20,16,big,TRPO,COMPLETE
57,302.51789166248284,2022-09-11 01:27:08.749361,2022-09-11 07:57:41.736473,0 days 06:30:32.987112,leaky_relu,16,5,0.92,0.999,0.3200045235859158,1.0,20,256,small,TRPO,COMPLETE
58,581.926834103686,2022-09-11 02:09:15.335206,2022-09-11 08:56:44.898141,0 days 06:47:29.562935,elu,16,5,0.92,0.999,0.08602608388282755,0.7,20,256,small,TRPO,COMPLETE
59,573.5268218511814,2022-09-11 03:19:24.200401,2022-09-11 09:23:05.792161,0 days 06:03:41.591760,tanh,256,5,0.92,0.999,0.26089891306351715,0.7,20,128,small,TRPO,COMPLETE
60,580.7491732194503,2022-09-11 05:10:38.791601,2022-09-11 11:51:05.205711,0 days 06:40:26.414110,tanh,16,5,0.92,0.9999,0.04150818419964253,0.6,20,256,small,TRPO,COMPLETE
61,587.6046114353286,2022-09-11 05:23:51.508738,2022-09-11 13:00:17.427491,0 days 07:36:25.918753,elu,8,5,0.92,0.999,0.43652214434991776,0.8,20,256,small,TRPO,COMPLETE
62,532.6214522648147,2022-09-11 05:47:52.463364,2022-09-11 14:12:35.549585,0 days 08:24:43.086221,elu,8,5,0.98,0.999,0.2995660021426905,0.8,30,512,small,TRPO,COMPLETE
63,535.7403252054158,2022-09-11 07:17:37.821398,2022-09-11 13:44:07.092525,0 days 06:26:29.271127,elu,8,5,0.92,0.999,0.05942418904830457,0.8,5,1024,small,TRPO,COMPLETE
64,586.512620438997,2022-09-11 07:57:41.791481,2022-09-11 14:09:26.497651,0 days 06:11:44.706170,tanh,64,5,0.9,0.99,0.005508565356797052,0.5,30,256,small,TRPO,COMPLETE
65,577.8021727744222,2022-09-11 08:56:44.947843,2022-09-11 17:05:18.680605,0 days 08:08:33.732762,elu,8,5,0.92,0.995,0.2965486390521969,0.8,25,128,small,TRPO,COMPLETE
66,565.5767345431407,2022-09-11 09:23:05.846689,2022-09-11 15:37:30.827635,0 days 06:14:24.980946,relu,64,5,0.9,0.98,0.004297671173549143,0.8,30,256,small,TRPO,COMPLETE
67,569.4662078663195,2022-09-11 09:27:05.105359,2022-09-11 15:33:30.695549,0 days 06:06:25.590190,leaky_relu,64,5,0.92,0.98,0.048307026267831336,0.8,30,256,small,TRPO,COMPLETE
68,590.5112278188424,2022-09-11 11:51:05.256163,2022-09-11 18:01:09.291262,0 days 06:10:04.035099,tanh,16,5,0.9,0.999,0.5235727032562557,0.9,5,256,small,TRPO,COMPLETE
69,374.269796187233,2022-09-11 13:00:17.487473,2022-09-11 19:40:25.122151,0 days 06:40:07.634678,leaky_relu,64,25,0.9,0.98,0.08479324234203209,0.8,30,256,medium,TRPO,COMPLETE
70,572.0971244881946,2022-09-11 13:44:07.148385,2022-09-11 20:31:56.594896,0 days 06:47:49.446511,tanh,64,5,0.9,0.999,0.009051951391544496,0.8,30,256,medium,TRPO,COMPLETE
71,548.0925368701917,2022-09-11 14:09:26.568468,2022-09-11 22:35:36.874610,0 days 08:26:10.306142,tanh,8,5,0.9,0.98,0.10035949538163653,0.9,30,32,small,TRPO,COMPLETE
72,590.561966173296,2022-09-11 14:12:35.609047,2022-09-11 20:10:52.910721,0 days 05:58:17.301674,tanh,512,5,0.9,0.98,0.2429330839966318,0.8,30,256,small,TRPO,COMPLETE
73,578.2439624565245,2022-09-11 15:33:30.748098,2022-09-11 22:20:56.982669,0 days 06:47:26.234571,tanh,16,5,0.95,0.9,0.1458043984912531,0.8,20,128,small,TRPO,COMPLETE
74,577.0764889314979,2022-09-11 15:37:30.883600,2022-09-11 21:40:07.519070,0 days 06:02:36.635470,tanh,64,20,0.9,0.98,0.011378482937379922,0.7,5,256,small,TRPO,COMPLETE
75,213.1684457318698,2022-09-11 17:05:18.765318,2022-09-11 23:36:37.737250,0 days 06:31:18.971932,leaky_relu,16,5,0.9,0.999,0.7250067933833734,0.8,20,2048,small,TRPO,COMPLETE
76,578.8776858197085,2022-09-11 18:01:09.366914,2022-09-12 00:13:41.348650,0 days 06:12:31.981736,tanh,16,25,0.9,0.999,0.0763606223677492,0.9,5,256,small,TRPO,COMPLETE
77,584.8939721987392,2022-09-11 19:40:25.177596,2022-09-12 01:51:05.940414,0 days 06:10:40.762818,tanh,64,20,0.9,0.98,0.3879286446951437,0.8,30,512,small,TRPO,COMPLETE
78,590.2486570506451,2022-09-11 20:10:52.960681,2022-09-12 02:13:47.734969,0 days 06:02:54.774288,tanh,512,5,0.9,0.995,0.8875034955490354,0.7,30,256,small,TRPO,COMPLETE
79,427.4527633144077,2022-09-11 20:31:56.651315,2022-09-12 05:51:05.126057,0 days 09:19:08.474742,tanh,16,5,0.9,0.999,0.5705074030836145,2.0,30,8,small,TRPO,COMPLETE
80,586.349967142048,2022-09-11 21:40:07.571895,2022-09-12 03:47:15.441385,0 days 06:07:07.869490,tanh,16,5,0.9,0.999,0.06160217655468949,0.9,5,512,small,TRPO,COMPLETE
81,584.4033261655316,2022-09-11 22:20:57.032100,2022-09-12 04:23:00.197387,0 days 06:02:03.165287,tanh,16,5,0.9,0.9999,0.35896885106881,0.3,5,512,small,TRPO,COMPLETE
82,586.6476158593309,2022-09-11 22:35:36.930199,2022-09-12 05:02:06.593405,0 days 06:26:29.663206,tanh,512,5,0.9,0.98,0.017078150796059618,0.7,30,256,big,TRPO,COMPLETE
83,566.7480967646092,2022-09-11 23:36:37.790370,2022-09-12 05:34:34.544361,0 days 05:57:56.753991,tanh,256,5,0.9,0.999,0.17709896717187895,0.9,5,2048,small,TRPO,COMPLETE
84,592.4284190960681,2022-09-12 00:13:41.404151,2022-09-12 06:17:38.446021,0 days 06:03:57.041870,tanh,512,30,0.9,0.98,0.0771166977375449,0.6,30,256,small,TRPO,COMPLETE
85,589.8624582186848,2022-09-12 01:51:05.991160,2022-09-12 07:39:55.005069,0 days 05:48:49.013909,tanh,512,5,0.98,0.98,0.06074604688007882,0.8,30,256,small,TRPO,COMPLETE
86,544.2877490667138,2022-09-12 02:13:47.786846,2022-09-12 08:45:42.828096,0 days 06:31:55.041250,elu,32,5,0.99,0.995,0.30564397513992764,0.7,30,256,small,TRPO,COMPLETE
87,398.4868548632922,2022-09-12 03:47:15.489083,2022-09-12 09:38:27.735191,0 days 05:51:12.246108,leaky_relu,512,5,0.9,0.95,0.9244352456795897,0.7,30,256,small,TRPO,COMPLETE
88,587.3667724091927,2022-09-12 04:23:00.253072,2022-09-12 10:51:20.330765,0 days 06:28:20.077693,tanh,32,5,0.9,0.999,0.49177390846632546,5.0,30,256,small,TRPO,COMPLETE
89,576.6514386571523,2022-09-12 05:02:06.644850,2022-09-12 11:10:13.498456,0 days 06:08:06.853606,tanh,512,5,0.9,0.995,0.3017055008793103,0.7,30,64,small,TRPO,COMPLETE
90,590.1598687278516,2022-09-12 05:34:34.602038,2022-09-12 11:31:32.121680,0 days 05:56:57.519642,tanh,512,10,0.9,0.995,0.2694256962525545,0.7,30,256,small,TRPO,COMPLETE
91,570.4876267812612,2022-09-12 05:51:05.180310,2022-09-12 11:39:39.766365,0 days 05:48:34.586055,tanh,512,5,0.9,0.995,0.7298273568759643,0.7,25,2048,small,TRPO,COMPLETE
92,578.5590415672224,2022-09-12 06:17:38.501003,2022-09-12 12:16:39.280874,0 days 05:59:00.779871,tanh,512,30,0.9,0.9,0.14580802246261393,0.6,30,256,small,TRPO,COMPLETE
