number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_policy_delay,params_tau,params_train_freq,user_attrs_Model,state
49,478.7992685194851,2022-09-12 04:53:40.184122,2022-09-12 13:49:09.130279,0 days 08:55:28.946157,elu,256,1000000,0.9,7.904637029574455e-05,small,3,0.02,8,TD3,COMPLETE
50,275.78465680535805,2022-09-12 05:07:30.893334,2022-09-12 13:58:27.361237,0 days 08:50:56.467903,elu,256,1000000,0.9,1.1004043497649916e-05,small,3,0.001,64,TD3,COMPLETE
51,517.3095231793974,2022-09-12 07:02:29.195708,2022-09-12 16:53:59.201808,0 days 09:51:30.006100,elu,256,1000000,0.9,0.00014983909287888294,small,3,0.001,4,TD3,COMPLETE
52,481.89145218345527,2022-09-12 09:57:58.290988,2022-09-12 20:00:42.127332,0 days 10:02:43.836344,elu,256,1000000,0.9,0.0002158458615127486,small,3,0.01,4,TD3,COMPLETE
53,377.2291705879995,2022-09-12 10:39:14.524555,2022-09-13 02:06:16.889863,0 days 15:27:02.365308,relu,2048,1000000,0.95,0.0004045222162978492,small,3,0.02,32,TD3,COMPLETE
54,217.13583411650626,2022-09-12 11:15:02.509929,2022-09-12 21:25:10.928729,0 days 10:10:08.418800,relu,512,1000000,0.9,2.5721671102754758e-05,small,2,0.02,32,TD3,COMPLETE
55,218.79157358230646,2022-09-12 12:17:52.655851,2022-09-13 04:29:57.014155,0 days 16:12:04.358304,relu,2048,1000000,0.995,2.719451972184824e-05,small,2,0.02,32,TD3,COMPLETE
56,275.15714104096736,2022-09-12 13:49:09.179862,2022-09-13 03:41:50.089968,0 days 13:52:40.910106,relu,2048,1000000,0.99,0.0007150011493950403,small,3,0.02,32,TD3,COMPLETE
57,245.9437210935551,2022-09-12 13:58:27.414726,2022-09-12 21:13:59.615402,0 days 07:15:32.200676,tanh,16,1000000,0.999,4.017222693744137e-05,small,3,0.02,8,TD3,COMPLETE
58,117.95282591090594,2022-09-12 15:24:55.214754,2022-09-12 23:36:21.857154,0 days 08:11:26.642400,tanh,256,1000000,0.9,7.57580251575194e-05,small,3,0.01,4,TD3,COMPLETE
59,344.1274444971667,2022-09-12 16:53:59.259104,2022-09-13 01:50:39.517085,0 days 08:56:40.257981,elu,128,1000000,0.995,0.00041317938799979214,small,3,0.001,4,TD3,COMPLETE
60,505.3550964382308,2022-09-12 20:00:42.183158,2022-09-13 11:26:10.058020,0 days 15:25:27.874862,elu,1024,1000000,0.9,8.88546164583081e-05,small,3,0.01,4,TD3,COMPLETE
61,306.4465873315415,2022-09-12 21:13:59.663542,2022-09-13 06:42:31.158235,0 days 09:28:31.494693,elu,256,1000000,0.9,0.00019419445830685342,small,2,0.001,4,TD3,COMPLETE
62,452.13827951329347,2022-09-12 21:25:10.987710,2022-09-13 06:21:20.610296,0 days 08:56:09.622586,leaky_relu,256,1000000,0.98,0.00014847039106697816,small,3,0.001,8,TD3,COMPLETE
63,262.19094821699196,2022-09-12 23:36:21.903043,2022-09-13 16:09:01.218878,0 days 16:32:39.315835,elu,256,10000,0.9,5.825653002739461e-05,medium,3,0.001,4,TD3,COMPLETE
64,520.8029461937333,2022-09-13 01:50:39.569504,2022-09-13 18:48:05.284468,0 days 16:57:25.714964,elu,1024,1000000,0.9,0.0004472168382086354,small,3,0.001,8,TD3,COMPLETE
65,401.2745633049175,2022-09-13 02:06:16.950965,2022-09-13 10:55:46.725304,0 days 08:49:29.774339,elu,100,1000000,0.9,0.00048218233894825325,small,3,0.01,8,TD3,COMPLETE
66,389.31064271938124,2022-09-13 03:41:50.141416,2022-09-13 16:03:34.672760,0 days 12:21:44.531344,elu,128,1000000,0.9,0.00021616220702369522,medium,3,0.01,8,TD3,COMPLETE
67,482.0165747451887,2022-09-13 04:29:57.073047,2022-09-14 02:26:52.114889,0 days 21:56:55.041842,elu,256,1000000,0.98,7.36705324480573e-05,big,3,0.01,4,TD3,COMPLETE
68,364.44528468391616,2022-09-13 06:21:20.664125,2022-09-13 15:05:51.527025,0 days 08:44:30.862900,leaky_relu,256,1000000,0.98,0.0007584902740163316,small,3,0.001,8,TD3,COMPLETE
69,206.2438302192109,2022-09-13 06:42:31.207939,2022-09-13 15:02:25.204227,0 days 08:19:53.996288,elu,128,1000000,0.9,1.4014207915499586e-05,small,2,0.02,8,TD3,COMPLETE
70,344.59675152967765,2022-09-13 10:55:46.780866,2022-09-14 02:37:03.432804,0 days 15:41:16.651938,leaky_relu,256,1000000,0.999,0.0001880417219285753,big,3,0.001,16,TD3,COMPLETE
71,438.73337042170687,2022-09-13 11:26:10.115079,2022-09-13 19:32:24.527285,0 days 08:06:14.412206,leaky_relu,100,1000000,0.98,0.00011166234461376198,small,3,0.001,512,TD3,COMPLETE
72,474.8972451265323,2022-09-13 15:02:25.248145,2022-09-13 23:00:59.307179,0 days 07:58:34.059034,leaky_relu,256,1000000,0.98,0.00038389358659658067,small,3,0.005,8,TD3,COMPLETE
73,,2022-09-13 15:05:51.584065,,,elu,1024,1000000,0.9,0.00040654762044525983,big,3,0.005,4,TD3,RUNNING
74,,2022-09-13 16:03:34.721066,,,elu,1024,1000000,0.9,0.00022093940045460054,big,3,0.01,4,TD3,RUNNING
75,331.9246243914826,2022-09-13 16:09:01.271107,2022-09-14 07:56:01.334581,0 days 15:47:00.063474,elu,1024,1000000,0.9,0.0005420243726278222,small,3,0.01,4,TD3,COMPLETE
76,,2022-09-13 18:48:05.345030,,,elu,1024,1000000,0.9,0.000712538088152543,big,3,0.001,8,TD3,RUNNING
77,466.073292985419,2022-09-13 19:32:24.579340,2022-09-14 14:18:45.997061,0 days 18:46:21.417721,elu,1024,1000000,0.9999,0.0004735567998667296,small,2,0.01,4,TD3,COMPLETE
78,498.1028828579222,2022-09-13 23:00:59.356976,2022-09-14 14:22:49.807937,0 days 15:21:50.450961,elu,1024,1000000,0.9,0.0002637071199883441,small,3,0.005,4,TD3,COMPLETE
79,402.7219361666165,2022-09-14 02:26:52.172544,2022-09-14 19:36:31.753266,0 days 17:09:39.580722,elu,1024,1000000,0.9,0.0012368759912659874,small,3,0.001,1,TD3,COMPLETE
80,,2022-09-14 02:37:03.492694,,,elu,256,1000000,0.98,4.7592484058229895e-05,big,3,0.01,512,TD3,RUNNING
81,,2022-09-14 07:56:01.380880,,,elu,2048,1000000,0.98,0.0002849876796597856,big,3,0.08,4,TD3,RUNNING
82,100.36437658459985,2022-09-14 14:18:46.051989,2022-09-14 22:19:34.617308,0 days 08:00:48.565319,elu,32,1000000,0.99,1.207147629993931e-05,small,3,0.01,16,TD3,COMPLETE
83,,2022-09-14 14:22:49.856199,,,elu,256,1000000,0.995,1.0287721015597225e-05,big,3,0.01,4,TD3,RUNNING
84,,2022-09-14 19:36:31.808192,,,elu,256,1000000,0.98,3.4516536980028815e-05,big,3,0.08,16,TD3,RUNNING
85,,2022-09-14 22:19:34.681075,,,relu,1024,1000000,0.9999,4.0414277774881984e-05,small,3,0.005,4,TD3,RUNNING
