number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_steps,params_net_arch,user_attrs_Model,state
71,370.47683534514,2022-09-11 16:13:01.324585,2022-09-11 23:27:25.796842,0 days 07:14:24.472257,tanh,0.98,0.95,5.881112192928574e-05,0.9,8,small,A2C,COMPLETE
72,415.57311324751646,2022-09-11 16:47:22.848503,2022-09-12 00:14:08.548126,0 days 07:26:45.699623,tanh,0.9,0.98,0.00010386969793591698,0.6,16,small,A2C,COMPLETE
73,436.48726701030563,2022-09-11 16:58:10.588184,2022-09-12 00:26:37.892225,0 days 07:28:27.304041,tanh,0.8,0.95,1.529337932758141e-05,0.6,8,big,A2C,COMPLETE
74,294.3760246214633,2022-09-11 18:57:22.568307,2022-09-12 02:01:44.157559,0 days 07:04:21.589252,elu,0.8,0.95,0.00018454378331441896,0.6,256,big,A2C,COMPLETE
75,331.1563320186043,2022-09-11 20:43:52.204920,2022-09-12 05:41:16.949693,0 days 08:57:24.744773,tanh,0.8,0.9999,0.0003728711145095952,0.6,8,big,A2C,COMPLETE
76,523.0692488735103,2022-09-11 21:34:12.930906,2022-09-12 04:44:52.883109,0 days 07:10:39.952203,tanh,0.92,0.95,0.0007532974364480656,0.8,1024,big,A2C,COMPLETE
77,404.569221046232,2022-09-11 21:46:19.434120,2022-09-12 04:35:48.383352,0 days 06:49:28.949232,tanh,0.8,0.95,0.00010517907419938815,0.6,2048,big,A2C,COMPLETE
78,524.153462623912,2022-09-11 23:27:25.859881,2022-09-12 06:25:46.953753,0 days 06:58:21.093872,tanh,0.92,0.95,0.00039219420017295303,0.9,1024,big,A2C,COMPLETE
79,526.1465539685557,2022-09-12 00:14:08.626135,2022-09-12 08:12:09.733439,0 days 07:58:01.107304,tanh,0.92,0.95,0.0005445650243683736,0.6,1024,big,A2C,COMPLETE
80,261.8834693379302,2022-09-12 00:23:56.076237,2022-09-12 09:27:31.983612,0 days 09:03:35.907375,tanh,0.8,0.95,4.354239606973713e-05,0.6,2048,big,A2C,COMPLETE
81,325.1278052940288,2022-09-12 00:26:37.954611,2022-09-12 07:39:23.707223,0 days 07:12:45.752612,tanh,0.92,0.95,0.0021410021346056967,0.9,1024,big,A2C,COMPLETE
82,523.4325371651796,2022-09-12 02:01:44.223648,2022-09-12 09:57:34.480948,0 days 07:55:50.257300,tanh,0.92,0.95,0.000561507424231169,0.9,1024,big,A2C,COMPLETE
83,343.6740469668175,2022-09-12 04:35:48.438852,2022-09-12 11:33:41.212343,0 days 06:57:52.773491,tanh,0.92,0.95,8.484696867112849e-05,0.9,1024,big,A2C,COMPLETE
84,503.79361538427213,2022-09-12 04:44:52.949338,2022-09-12 12:56:15.091568,0 days 08:11:22.142230,tanh,0.92,0.95,0.0002511297348965346,0.8,1024,big,A2C,COMPLETE
85,409.7900396552426,2022-09-12 05:41:17.026564,2022-09-12 14:21:57.699276,0 days 08:40:40.672712,tanh,0.92,0.95,0.0018308033037721769,0.9,1024,big,A2C,COMPLETE
86,352.78440743667625,2022-09-12 06:25:47.006891,2022-09-12 13:26:00.154994,0 days 07:00:13.148103,tanh,0.8,0.95,0.0029699080709886696,0.9,1024,big,A2C,COMPLETE
87,221.04252814378978,2022-09-12 07:39:23.760131,2022-09-12 15:30:36.402157,0 days 07:51:12.642026,tanh,0.92,0.999,3.916450953280065e-05,0.8,1024,big,A2C,COMPLETE
88,199.579303811452,2022-09-12 08:12:09.817770,2022-09-12 16:19:15.183333,0 days 08:07:05.365563,tanh,0.92,0.95,1.5936648501580033e-05,0.6,1024,big,A2C,COMPLETE
89,445.73107103894847,2022-09-12 09:27:32.057829,2022-09-12 18:30:43.144416,0 days 09:03:11.086587,tanh,0.92,0.9999,0.0008830975065575,0.6,1024,small,A2C,COMPLETE
90,373.05297557088,2022-09-12 09:57:34.557938,2022-09-12 18:15:18.303353,0 days 08:17:43.745415,elu,0.95,0.95,0.00029982344981546684,0.9,1024,big,A2C,COMPLETE
91,-76.99447596337573,2022-09-12 11:33:41.275587,2022-09-12 18:48:18.824130,0 days 07:14:37.548543,tanh,0.92,0.995,0.00842713116429352,0.6,1024,big,A2C,COMPLETE
92,488.27216659526266,2022-09-12 12:56:15.168515,2022-09-12 21:32:54.659056,0 days 08:36:39.490541,tanh,0.95,0.95,0.00029467312818080155,0.8,1024,big,A2C,COMPLETE
93,170.32308474507056,2022-09-12 13:26:00.214066,2022-09-12 20:34:01.707426,0 days 07:08:01.493360,tanh,0.98,0.9,0.004196587630296408,0.8,1024,big,A2C,COMPLETE
94,364.87327650223267,2022-09-12 14:21:57.774290,2022-09-12 23:08:40.835172,0 days 08:46:43.060882,leaky_relu,0.92,0.95,0.0001184758856513062,0.6,128,big,A2C,COMPLETE
95,442.5972140490905,2022-09-12 15:30:36.480526,2022-09-12 23:46:19.905367,0 days 08:15:43.424841,tanh,0.92,0.95,0.0002731611746077591,0.3,16,medium,A2C,COMPLETE
96,-11.898791433021557,2022-09-12 16:19:15.259816,2022-09-13 00:32:19.251114,0 days 08:13:03.991298,tanh,0.92,0.95,0.023985938365055446,0.8,32,big,A2C,COMPLETE
97,488.94997419068807,2022-09-12 18:15:18.356017,2022-09-13 02:23:21.259784,0 days 08:08:02.903767,tanh,0.92,0.995,0.0003728170651355227,2.0,1024,big,A2C,COMPLETE
98,358.2150614169831,2022-09-12 18:30:43.231024,2022-09-13 03:25:01.836659,0 days 08:54:18.605635,tanh,0.99,0.95,0.0002274258590311047,0.8,1024,medium,A2C,COMPLETE
99,459.16587587786944,2022-09-12 18:48:18.891913,2022-09-13 02:17:30.595228,0 days 07:29:11.703315,tanh,0.98,0.95,0.0003729998152410367,0.8,1024,big,A2C,COMPLETE
100,382.59289597915887,2022-09-12 20:34:01.761997,2022-09-13 03:48:36.251405,0 days 07:14:34.489408,tanh,0.92,0.95,0.0034851742419184308,0.8,2048,big,A2C,COMPLETE
101,149.72706574561457,2022-09-12 21:32:54.733802,2022-09-13 06:16:19.488290,0 days 08:43:24.754488,leaky_relu,0.92,0.95,0.00011246228244468209,0.8,32,big,A2C,COMPLETE
102,135.13958288852422,2022-09-12 23:08:40.911031,2022-09-13 07:58:21.773930,0 days 08:49:40.862899,elu,0.92,0.95,0.0008553265052219296,0.8,32,big,A2C,COMPLETE
103,-20.746673368511882,2022-09-12 23:46:19.959924,2022-09-13 08:07:30.553563,0 days 08:21:10.593639,leaky_relu,0.92,0.95,0.005140590341187194,0.8,8,big,A2C,COMPLETE
104,97.18671871470056,2022-09-13 00:32:19.305794,2022-09-13 08:54:59.055558,0 days 08:22:39.749764,elu,0.92,0.95,0.0001509214906102118,1.0,8,big,A2C,COMPLETE
105,430.2009429809929,2022-09-13 02:17:30.668480,2022-09-13 10:18:20.204825,0 days 08:00:49.536345,tanh,0.8,0.95,6.911944673513703e-05,0.8,8,small,A2C,COMPLETE
106,196.16008368084368,2022-09-13 02:23:21.336980,2022-09-13 10:26:13.697480,0 days 08:02:52.360500,relu,0.92,0.95,0.002329070682418162,0.3,1024,big,A2C,COMPLETE
107,456.2188828404157,2022-09-13 03:25:01.892172,2022-09-13 12:28:02.854291,0 days 09:03:00.962119,tanh,0.92,0.98,0.0004350741892433735,0.8,8,big,A2C,COMPLETE
108,286.8756772445564,2022-09-13 03:48:36.318552,2022-09-13 11:26:26.645065,0 days 07:37:50.326513,tanh,0.99,0.995,0.0005247806655063237,2.0,2048,big,A2C,COMPLETE
109,43.88127470982214,2022-09-13 06:16:19.541484,2022-09-13 14:50:04.621794,0 days 08:33:45.080310,relu,0.92,0.995,0.0007007771419627832,0.9,256,big,A2C,COMPLETE
110,535.3473981717455,2022-09-13 07:58:21.846740,2022-09-13 16:30:25.889737,0 days 08:32:04.042997,tanh,0.8,0.995,0.00023053688940676576,2.0,1024,big,A2C,COMPLETE
111,351.1128850846001,2022-09-13 08:07:30.628224,2022-09-13 15:07:00.444529,0 days 06:59:29.816305,tanh,0.92,0.995,0.00011124213834059155,2.0,1024,big,A2C,COMPLETE
112,247.78138621412276,2022-09-13 08:54:59.129570,2022-09-13 16:58:21.311191,0 days 08:03:22.181621,tanh,0.92,0.995,5.0997757910275175e-05,2.0,1024,big,A2C,COMPLETE
113,106.39850260716825,2022-09-13 10:18:20.283577,2022-09-13 18:09:27.664930,0 days 07:51:07.381353,relu,0.98,0.95,0.000670664806530534,0.9,512,big,A2C,COMPLETE
114,336.4643125861434,2022-09-13 10:26:13.752723,2022-09-13 18:23:13.019130,0 days 07:56:59.266407,tanh,1.0,0.98,0.0010108510281383407,0.7,1024,big,A2C,COMPLETE
115,-136.04495624527948,2022-09-13 11:26:26.709362,2022-09-13 19:04:03.264968,0 days 07:37:36.555606,tanh,0.92,0.995,0.00795519682888383,2.0,256,big,A2C,COMPLETE
